timestamp,neck_angle,shoulder_diff,spine_angle,shoulder_z_diff,neck_score,shoulder_score,spine_score,rounded_score,total_score,status
2026-03-12 22:02:13,149.06,3.14,178.81,-0.5852,98,100,100,0,74,Good Posture (ML)
2026-03-12 22:02:16,150.75,9.89,177.12,-0.6371,100,99,100,0,74,Good Posture (ML)
2026-03-12 22:02:19,146.83,0.55,174.53,-0.4065,94,100,100,0,73,Good Posture (ML)
2026-03-12 22:02:22,148.84,6.25,173.63,-0.3637,98,100,100,12,77,Good Posture (ML)
2026-03-12 22:02:25,147.61,2.75,173.12,-0.4409,96,100,100,0,74,Good Posture (ML)
2026-03-12 22:02:28,145.65,12.51,175.0,-0.1718,93,93,100,76,90,Good Posture (ML)
2026-03-12 22:02:31,147.23,12.84,174.37,-0.422,95,93,100,0,72,Good Posture (ML)
2026-03-12 22:02:34,146.78,10.39,171.88,-0.4817,94,98,100,0,73,Good Posture (ML)
2026-03-12 22:02:38,150.29,5.57,174.51,-0.2061,100,100,100,64,91,Good Posture (ML)
2026-03-12 22:02:41,149.93,11.96,173.3,-0.3547,99,95,100,15,77,Good Posture (ML)
2026-03-12 22:02:44,148.24,20.47,172.23,-0.2925,97,77,100,35,77,Good Posture (ML)
2026-03-12 22:02:47,148.72,1.96,172.22,-0.4587,97,100,100,0,74,Good Posture (ML)
2026-03-12 22:02:50,152.93,9.81,172.32,-0.4963,100,99,100,0,74,Good Posture (ML)
2026-03-12 22:02:53,146.96,11.08,174.21,-0.454,95,96,100,0,72,Good Posture (ML)
2026-03-12 22:02:56,147.93,14.31,174.36,-0.4585,96,90,100,0,71,Good Posture (ML)
2026-03-12 22:02:59,146.96,9.53,172.54,-0.4911,95,100,100,0,73,Good Posture (ML)
2026-03-12 22:03:02,149.64,2.86,174.18,-0.4333,99,100,100,0,74,Good Posture (ML)
2026-03-12 22:03:05,145.62,1.5,172.7,-0.5043,92,100,100,0,73,Good Posture (ML)
2026-03-12 22:03:08,144.97,8.5,175.51,-0.3472,91,100,100,17,77,Good Posture (ML)
2026-03-12 22:03:11,145.85,4.01,175.27,-0.3329,93,100,100,22,78,Good Posture (ML)
